"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.780368833E0,-4.298037965E0,1.440452220E0,-3.207314730E-2,4.533107283E0
1.790381833E0,-5.720173783E0,2.307575591E0,-1.183164134E0,6.280539036E0
1.800395833E0,-6.647909390E0,3.615577267E0,-2.386516510E0,7.934895040E0
1.810409833E0,-7.170248181E0,5.008631372E0,-2.963281184E0,9.234710747E0
1.820423833E0,-5.184503925E0,5.316979027E0,-2.911141562E0,7.976471157E0
1.830437833E0,-4.429576929E0,4.818890394E0,-1.575919343E0,6.732486775E0
1.840450833E0,-4.784730960E0,4.631529232E0,-9.494708776E-2,6.659859483E0
1.850464833E0,-5.684085352E0,4.639691361E0,8.130040272E-1,7.382177034E0
1.860478833E0,-7.753346559E0,4.796449950E0,1.445006178E0,9.230837332E0
1.870492833E0,-9.096795811E0,4.675197993E0,9.057946618E-1,1.026789337E1
1.880506833E0,-9.021242183E0,3.727805800E0,-6.498468299E-1,9.782721887E0
1.890520833E0,-8.585510012E0,2.553944514E0,-1.620195922E0,9.102672661E0
1.900533833E0,-7.327468700E0,1.813417456E0,-2.584277822E0,7.978644765E0
1.910547833E0,-4.816322882E0,1.116505364E0,-4.457862250E0,6.657032835E0
1.920561833E0,-9.462185101E-1,8.139943993E-1,-5.470845584E0,5.611422970E0
1.930575833E0,2.963473558E0,5.111717784E-1,-3.754870223E0,4.810667574E0
1.940589833E0,5.499148446E0,-8.273652273E-1,-8.385316551E-1,5.623904532E0
1.950602833E0,6.425199471E0,-2.632860290E0,1.690118681E0,7.146442661E0
1.960616833E0,6.409931806E0,-3.861880116E0,4.591538078E0,8.779724695E0
1.970630833E0,7.281224241E0,-4.768603170E0,6.306170626E0,1.074819011E1
1.980644833E0,9.637788974E0,-4.968851010E0,5.622032361E0,1.221407813E1
1.990658833E0,1.179928708E1,-4.793247430E0,4.457484227E0,1.349324135E1
2.000671833E0,1.091075238E1,-4.360221934E0,3.757744129E0,1.233599180E1
2.010685833E0,6.857881150E0,-2.803245816E0,4.357344519E0,8.595066738E0
2.020699833E0,4.085426772E0,-9.924660391E-1,4.318998479E0,6.027391527E0
2.030713833E0,3.059163827E0,2.671850109E-1,2.744511704E0,4.118521050E0
2.040727833E0,2.815890712E0,4.102599460E-1,7.344971171E-1,2.938884098E0
2.050740833E0,2.926615049E0,1.586554259E-1,-7.768891382E-1,3.032128613E0
2.060754833E0,3.257554591E0,-4.235307866E-1,-1.406593626E0,3.573450135E0
2.070768833E0,2.610404936E0,-1.089830366E0,-9.950791597E-2,2.830520443E0
2.080782833E0,1.309203571E0,-1.688510404E0,1.253173797E0,2.476999383E0
2.090796833E0,7.648071096E-1,-2.807684437E0,1.128375796E0,3.121098164E0
2.100809833E0,1.746242303E0,-3.844697489E0,1.150594631E0,4.376634434E0
2.110823833E0,2.615088848E0,-4.297790043E0,1.123890105E0,5.154882919E0
2.120837833E0,1.616128014E0,-4.567879951E0,1.218660022E0,4.996251520E0
2.130851833E0,-2.890924814E-1,-4.868326848E0,1.853725237E0,5.217324795E0
2.140865833E0,-1.659483072E0,-5.008170612E0,1.821050265E0,5.581387015E0
2.150878833E0,-2.095615046E0,-4.615268710E0,1.556770151E0,5.302437269E0
2.160892833E0,-2.378464602E0,-4.051097769E0,7.455083013E-1,4.756497622E0
2.170906833E0,-2.716183698E0,-3.571543640E0,1.037405692E-1,4.488244641E0
2.180920833E0,-2.174316376E0,-3.033368250E0,-6.179688334E-1,3.782969749E0
2.190934833E0,-2.016959617E0,-2.792988045E0,-1.001463150E0,3.587734210E0
2.200947833E0,-2.838063354E0,-2.342548372E0,-5.044401714E-1,3.714376982E0
2.210961833E0,-3.541240737E0,-1.350664131E0,1.605119169E-1,3.793473821E0
2.220975833E0,-3.509647646E0,-8.520229357E-1,2.239204390E-1,3.618523186E0
2.230989833E0,-2.137034529E0,-5.269294399E-1,-5.620808539E-1,2.271674735E0
2.241003833E0,7.881315798E-2,-6.293562859E-1,-1.598236557E0,1.719494386E0
2.251017833E0,1.775202101E0,-1.171162212E0,-1.353831568E0,2.521075830E0
2.261030833E0,2.054458396E0,-1.890757408E0,-8.055312856E-1,2.905966883E0
2.271044833E0,1.936385278E0,-2.150534581E0,-1.414184189E-1,2.897306697E0
2.281058833E0,2.298976968E0,-2.239604048E0,1.379369867E-1,3.212498716E0
2.291072833E0,2.146178698E0,-2.358104305E0,2.435122660E-1,3.197817559E0
2.301085833E0,2.068444351E0,-2.054794026E0,5.248775057E-1,2.962454543E0
2.311099833E0,2.085473782E0,-1.398102592E0,4.959595160E-1,2.559270910E0
2.321113833E0,2.089134139E-1,-8.147247165E-1,2.753021157E-1,8.849929001E-1
2.331127833E0,-2.492413094E0,3.011930019E-1,2.858994631E-1,2.526772399E0
2.341141833E0,-3.630896387E0,9.789022529E-1,-8.636958785E-1,3.858449010E0
2.351155833E0,-2.439068361E0,1.710597092E0,-2.415594714E0,3.835400201E0
2.361168833E0,-4.633427238E-1,2.103742238E0,-3.773767254E0,4.345312091E0
2.371182833E0,2.615757769E-1,1.862148736E0,-3.361585329E0,3.851788639E0
2.381196833E0,-9.722943145E-1,1.657302645E0,-2.434673155E0,3.101554717E0
2.391210833E0,-8.943246174E-1,1.366652173E0,-1.146737296E0,1.995635515E0
2.401224833E0,4.550361693E-1,4.505636340E-1,-1.312943158E0,1.460782407E0
2.411237833E0,8.975382471E-1,2.360298765E-1,-2.703511612E0,2.858366675E0
2.421251833E0,1.105261753E0,-3.798526704E-2,-2.739979527E0,2.954747744E0
2.431265833E0,3.389525664E-1,-5.102631211E-1,-2.424878923E0,2.501058793E0
2.441279833E0,-9.083854169E-1,1.329931659E-1,-7.300447547E-1,1.172952084E0
2.451293833E0,-2.674176716E0,-1.724186021E-1,1.199334188E-1,2.682411845E0
2.461306833E0,-3.936519824E0,-1.175445882E0,-1.489960011E0,4.370107800E0
2.471320833E0,-4.576032724E0,1.333377423E0,-6.175033951E-1,4.806171167E0
2.481334833E0,-3.749649829E0,6.915256369E-1,-1.591041412E0,4.131524455E0
2.491348833E0,-3.274612089E0,1.883930783E0,-1.611239449E0,4.107112379E0
2.501362833E0,-3.590189826E0,2.227707887E0,-1.655604029E0,4.537969823E0
2.511375833E0,-3.781993702E0,2.486312694E0,-1.919717095E-1,4.530130275E0
2.521389833E0,-3.943280375E0,1.895964353E0,1.632356669E0,4.669981717E0
2.531403833E0,-4.760549215E0,1.624486024E0,3.841255817E0,6.329062326E0
2.541417833E0,-4.243471749E0,1.924375682E0,5.143592126E0,6.940231567E0
2.551431833E0,-2.947566792E0,1.602340864E0,4.924346098E0,5.958593016E0
2.561444833E0,-1.993389491E0,1.369673137E0,4.321349645E0,4.952137813E0
2.571458833E0,-1.007510925E0,1.225802103E0,3.632822460E0,3.964223516E0
2.581472833E0,-2.260498488E-1,1.358207916E0,2.942952754E0,3.249122681E0
2.591487375E0,3.584612167E-1,8.900257444E-1,2.373410561E0,2.560023039E0
2.601501375E0,6.530065191E-1,3.038736579E-1,1.500339403E0,1.664264113E0
2.611514375E0,1.123682821E0,6.241379383E-1,1.654493058E0,2.095127329E0
2.621528375E0,1.157333547E0,7.012451711E-1,2.859233490E0,3.163286563E0
2.631542375E0,9.028188676E-1,3.818927640E-1,2.867114367E0,3.030060855E0
2.641556375E0,4.045711899E-1,2.520208418E-2,2.405624042E0,2.439536846E0
2.651570375E0,3.760946649E-1,2.312948012E-1,1.642040827E0,1.700365420E0
2.661583375E0,7.316977626E-1,-3.937936020E-1,8.139230633E-1,1.163153373E0
2.671597375E0,1.609386467E0,-5.080546278E-1,2.571921376E-1,1.707159073E0
2.681611375E0,2.526525750E0,-8.012176484E-2,2.117054594E-1,2.536645633E0
2.691625375E0,2.520131820E0,-1.535591389E-1,7.543715107E-1,2.635094149E0
2.701639375E0,2.409249900E0,-5.860825047E-1,4.895546222E-1,2.527378387E0
2.711652375E0,1.617945621E0,-2.983448231E-1,-1.780500555E-1,1.654829142E0
2.721666375E0,7.644275522E-1,-2.268672895E-1,-6.476060307E-1,1.027235037E0
2.731680375E0,5.574384570E-1,-6.510544261E-1,-1.382737863E0,1.626829277E0
2.741694375E0,6.813146442E-1,-6.746967655E-1,-2.110601606E0,2.318198549E0
2.751708375E0,1.019888896E0,-2.765604365E-1,-2.545926812E0,2.756519974E0
2.761721375E0,9.350756174E-1,-5.302851570E-1,-2.798117223E0,2.997503753E0
2.771735375E0,4.542514729E-1,-7.547511412E-1,-2.711351559E0,2.850863196E0
2.781749375E0,-1.121811712E-1,-1.242393285E0,-2.489041589E0,2.784143266E0
2.791763375E0,-2.798646981E-1,-1.253670810E0,-1.720920936E0,2.147459806E0
2.801777375E0,8.291240698E-1,-8.070461529E-1,-7.434787327E-1,1.375329358E0
2.811791375E0,1.987362181E0,-1.111811219E0,-2.049039781E-1,2.286420404E0
2.821804375E0,2.777815105E0,-1.421187399E0,2.768317473E-1,3.132517550E0
2.831818375E0,3.128784869E0,-1.565475047E0,9.289155757E-1,3.619791572E0
2.841832375E0,2.990636213E0,-1.786825488E0,1.248122095E0,3.700602525E0
2.851846375E0,2.351377668E0,-1.917673018E0,1.098319938E0,3.226879829E0
2.861860375E0,2.085484892E0,-1.786398495E0,9.588217449E-1,2.908574557E0
2.871873375E0,1.863812853E0,-1.822122790E0,8.997976112E-1,2.757456356E0
2.881887375E0,1.439982689E0,-1.918143719E0,8.318026793E-1,2.538645538E0
2.891901375E0,9.261837566E-1,-1.725216300E0,7.871615267E-1,2.110405388E0
2.901915375E0,5.398933017E-1,-1.393950338E0,9.333173597E-1,1.762289311E0
2.911929375E0,6.162269479E-1,-8.156783974E-1,9.426939547E-1,1.390589368E0
2.921942375E0,4.981769264E-2,-1.079248952E0,6.116012156E-1,1.241497543E0
2.931956375E0,-8.797714823E-1,-9.764287345E-1,3.207256258E-1,1.352876883E0
2.941970375E0,-4.729789352E-1,8.709749311E-2,-6.799317777E-2,4.857140298E-1
2.951984375E0,-5.148906076E-1,-3.625063205E-1,-6.190271795E-2,6.327362141E-1
2.961998375E0,-2.148827779E0,-1.675920618E0,1.849637850E-1,2.731370049E0
2.972011375E0,-2.922278754E0,-1.221526473E0,-1.958267788E-1,3.173355979E0
2.982025375E0,-2.189458326E0,-2.746450348E-1,-8.856993896E-1,2.377734440E0
2.992039375E0,-3.155370405E0,-1.761001260E0,-1.446550282E0,3.892299519E0
3.002053375E0,-3.892930586E0,-2.023175938E0,-6.403678355E-1,4.433759171E0
3.012067375E0,-4.345384625E0,-1.593083552E0,-6.000723336E-1,4.666944348E0
3.022080375E0,-5.152391016E0,-7.520644187E-1,-9.415238538E-1,5.291427146E0
3.032094375E0,-5.933869050E0,2.393336264E-1,-1.097754805E-1,5.939708169E0
3.042108375E0,-6.355367929E0,4.029614514E-1,1.318050116E-1,6.369493858E0
3.052122375E0,-6.000600398E0,5.011958438E-1,-1.742330516E0,6.268502057E0
3.062136375E0,-5.194628963E0,5.405905091E-1,-3.357817383E0,6.208973002E0
3.072149375E0,-3.707904217E0,9.442799389E-1,-3.337138120E0,5.077076828E0
3.082163375E0,-2.281002334E0,1.514116613E0,-2.210583147E0,3.518834838E0
3.092177375E0,-1.399735134E0,1.801167246E0,-6.041343212E-1,2.359754261E0
3.102191375E0,-1.074817640E-1,1.526779635E0,1.779208320E0,2.346953479E0
3.112205375E0,1.559645373E0,1.977661943E0,3.781421844E0,4.543433901E0
3.122218375E0,1.842096879E0,2.575290067E0,4.746174420E0,5.705401955E0
3.132232375E0,8.516077834E-1,2.629007560E0,3.450388162E0,4.420644188E0
3.142246375E0,3.934141177E-1,2.582000916E0,1.701085426E0,3.116920760E0
3.152260375E0,5.198934853E-1,2.809322827E0,6.534097577E-1,2.930789705E0
3.162274375E0,-2.621949971E-1,2.747251124E0,1.817278518E0,3.304335965E0
3.172287375E0,-5.705315423E-1,2.850888344E0,2.925605235E0,4.124589262E0
3.182301375E0,-4.905574197E-1,3.855861577E0,2.559008787E0,4.653691122E0
3.192315375E0,-1.062467151E0,4.136020390E0,1.523583986E0,4.533961764E0
