"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.278256292E0,1.591050476E0,-9.054296494E-1,-4.406093341E-1,1.882918227E0
1.288268292E0,1.179086359E0,-1.050192091E0,5.006508833E-1,1.656441782E0
1.298280292E0,1.074038790E0,-1.208035339E0,1.153205997E0,1.985646689E0
1.308292292E0,8.743607613E-1,-1.421007305E0,1.707362997E0,2.387227870E0
1.318303292E0,2.390242356E-1,-1.856762280E0,1.741741701E0,2.557022273E0
1.328315292E0,-6.683045894E-1,-2.350010004E0,1.566615254E0,2.902320002E0
1.338327292E0,-1.386291216E0,-2.580837028E0,1.447343164E0,3.267617685E0
1.348339292E0,-1.499173468E0,-2.809454682E0,1.393028963E0,3.475785722E0
1.358351292E0,-1.220702747E0,-3.288791879E0,1.061139833E0,3.665008181E0
1.368362292E0,-7.494370455E-1,-3.783135079E0,6.155574417E-1,3.905467689E0
1.378374292E0,-5.379122651E-1,-3.763124737E0,2.837343854E-1,3.811949973E0
1.388386292E0,-7.849021626E-1,-3.592709976E0,2.182824075E-1,3.683922310E0
1.398398292E0,-1.139455685E0,-3.504294228E0,2.626060563E-1,3.694238654E0
1.408410292E0,-1.440173893E0,-3.528159054E0,4.393504286E-1,3.836018242E0
1.418421292E0,-2.773715622E0,-2.797144831E0,3.790694359E-1,3.957424819E0
1.428433292E0,-4.010057332E0,-2.069247174E0,-5.580027133E-2,4.512810360E0
1.438445292E0,-4.854532097E0,-1.889611938E0,-3.051287627E-1,5.218258207E0
1.448457292E0,-5.516421706E0,-2.216074267E0,-2.045829660E-1,5.948423975E0
1.458469292E0,-5.421837730E0,-2.467483490E0,-1.958448869E-1,5.960130399E0
1.468480292E0,-5.319685119E0,-2.624923280E0,-3.190343186E-1,5.940627482E0
1.478492292E0,-6.088945395E0,-2.752162201E0,-3.413475859E-1,6.690752646E0
1.488504292E0,-7.334192414E0,-2.437407167E0,1.717675146E-1,7.730513317E0
1.498516292E0,-8.081414534E0,-1.998864239E0,1.274470818E0,8.421935346E0
1.508528292E0,-8.221571124E0,-1.832204559E0,2.377830764E0,8.752444483E0
1.518539292E0,-8.021946012E0,-1.356186826E0,3.276524421E0,8.770773786E0
1.528551292E0,-7.669543680E0,-5.102642906E-1,3.443867932E0,8.422736861E0
1.538563292E0,-6.794435352E0,-1.404448575E-1,2.797317324E0,7.349085706E0
1.548575292E0,-5.905246344E0,7.628160596E-2,1.671014073E0,6.137592468E0
1.558587292E0,-5.307741596E0,4.759838194E-1,8.343536733E-1,5.393962134E0
1.568598292E0,-4.945898350E0,8.084389597E-1,5.792149499E-2,5.011869805E0
1.578610292E0,-4.918879536E0,1.040193352E0,-6.363969183E-1,5.067778521E0
1.588622292E0,-4.760260363E0,1.167539277E0,-6.137086252E-1,4.939621945E0
1.598634292E0,-4.193117282E0,1.340528567E0,-2.770024860E-1,4.410893306E0
1.608646292E0,-3.161095414E0,1.591080004E0,2.739052159E-1,3.549518821E0
1.618657292E0,-2.017397574E0,2.243490107E0,2.997171281E-1,3.031991291E0
1.628669292E0,-7.835111099E-1,2.658939457E0,2.586854617E-1,2.784019911E0
1.638681292E0,-6.715994954E-2,2.564450791E0,2.712733658E-1,2.579633221E0
1.648693292E0,6.630877036E-1,2.227921895E0,9.784046549E-1,2.522022392E0
1.658705292E0,1.646832621E0,2.086640301E0,1.338681432E0,2.976271729E0
1.668716292E0,2.631359895E0,2.245464127E0,8.203105617E-1,3.555147460E0
1.678728292E0,4.158960772E0,2.130396770E0,1.462447107E0,4.896355444E0
1.688740292E0,6.230039293E0,2.277961197E0,3.548036664E0,7.522703037E0
1.698752292E0,7.287617587E0,2.795436859E0,5.184184667E0,9.370144502E0
1.708764292E0,6.349445284E0,2.351730840E0,5.305225539E0,8.601831862E0
1.718775292E0,2.717456637E0,1.694610220E0,3.509774823E0,4.751293895E0
1.728787292E0,-8.726829028E-1,6.058007777E-1,1.259243353E0,1.647502307E0
1.738799292E0,-2.395636997E0,2.086754322E-2,3.246572205E-1,2.417625775E0
1.748811292E0,-2.583802736E0,3.491588813E-1,6.022515178E-1,2.675940095E0
