Time (s),x,y,z,total_acceleration,Walking(0)/Jumping(1)
39.10255754,1.354513792,1.967185779,-1.409730657,2.773421718,0
39.11256954,0.9740173428,2.815661793,-1.626523194,3.394442343,0
39.12258054,0.3893198973,3.315691702,-1.144069723,3.52906177,0
39.13259254,0.2778512824,3.584864767,-0.253726767,3.604557393,0
39.14260454,1.73929625,2.894126165,4.520418979,5.642278391,0
39.15261554,3.432334007,1.324966203,9.859949255,10.52402259,0
39.16262754,3.372517868,0.1780032778,8.341485822,8.99921928,0
39.17263954,2.843959394,-0.0019874686,4.134287276,5.018011584,0
39.18265054,2.335664738,-0.08616632402,0.9239033425,2.513235323,0
39.19266254,1.812538034,-0.1118186438,-0.8355462129,1.998983494,0
39.20267354,0.9039992742,-0.03763560355,-1.694323998,1.920771964,0
39.21268554,0.4456738999,0.2158447033,-1.627882379,1.701533192,0
39.22269754,0.3027618098,0.5381116551,-0.9952452207,1.171213864,0
39.23270854,0.7166435212,0.5216260153,-0.2277910765,0.9151832663,0
39.24272054,1.110380698,0.3220178604,-0.343321679,1.206030916,0
39.25273254,1.31629332,0.3496395224,-1.747530445,2.215567322,0
39.26274354,1.31740283,0.02965649307,-4.052858366,4.261700442,0
39.27275554,0.4182297009,-0.5370720202,-6.109311247,6.147116914,0
39.28276754,-0.8081445524,-0.5341443193,-6.720606653,6.790063443,0
39.29277854,-2.199714927,-0.03596622348,-6.439202968,6.804658271,0
39.30279054,-3.028792804,0.9654209125,-5.845222921,6.65373988,0
39.31280154,-2.642177829,2.055886871,-6.055217485,6.919063036,0
39.32281354,-1.171571809,2.745532043,-6.919943497,7.536321696,0
39.33282554,0.5523566419,2.78636198,-8.245139496,8.720735992,0
39.34283654,1.659817825,2.098254626,-8.927655743,9.319909053,0
39.35284854,1.894859814,0.8758193493,-9.027284696,9.265496329,0
39.36286054,1.676015489,0.2004062998,-8.843276328,9.002928791,0
39.37287154,1.221931831,-0.1825518268,-7.794365362,7.891677513,0
39.38288354,0.732155892,-0.2671312165,-6.388919837,6.436280604,0
39.39289454,0.003543714182,0.1279265535,-5.385285616,5.386806004,0
39.40290654,-0.7433231968,1.134009004,-5.312728686,5.483027621,0
39.41291854,-1.083405738,2.160190088,-5.846201745,6.325999056,0
39.42292954,-1.459654769,2.792405078,-5.918044145,6.704577889,0
39.43294154,-2.221451659,2.877821204,-5.179110453,6.327707914,0
39.44295354,-2.585807746,2.732131979,-4.078905373,5.548731016,0
39.45296454,-2.023116443,2.169565514,-2.756011423,4.049149741,0
39.46297654,-0.7129650378,0.7415450585,-1.53308615,1.846228957,0
39.47298854,1.173752236,-1.501869035,-0.4221525979,1.952310868,0
39.48299954,3.278781154,-4.48675802,2.368269689,6.040703991,0
39.49301154,5.443627964,-7.649469019,4.439250562,10.38529765,0
